축제ID	축제명	개최장소	축제시작일자	축제종료일자	축제내용	홈페이지주소	소재지도로명주소	소재지지번주소	위도	경도
1097	제19회 국제매직페스티벌	해운대해수욕장+구남로	2024-06-28	2024-06-29	매직버스킹공연+무대공연+경연대회 등	홈페이지 정보 없음	부산광역시 해운대구 중동2로 11	부산광역시 해운대구 중동 1378-95	35.16313992	129.1635303
439	제45회 서울연극제	대학로	2024-05-01	2024-06-30	우수 창작극 공연을 통해 한국 연극발전 도모	http://www.stf.or.kr/	"서울특별시 종로구 대학로12길 92, 3층"	서울특별시 종로구 동숭동 1-139	37.58009773	127.0036835
992	거제 옥포대첩 축제	옥포대첩기념공원+옥포수변공원 일원	2024-06-22	2024-06-30	제례봉행+승전행차+가장행렬+옥포해전 재현 등	홈페이지 정보 없음	경상남도 거제시 팔랑포2길 87+경상남도 거제시 옥포로2길 14	경상남도 거제시 옥포동 산 1-1	34.90219827	128.7140595
993	남부면 수국축제	매물도 여객선터미널 및 남부면 저구항 일원	2024-06-01	2024-06-30	식전행사+화합행사+수국포토존+목재만들기 체험 등	홈페이지 정보 없음	경상남도 거제시 남부면 남부해안로 30	경상남도 거제시 남부면 저구리 70	34.73224984	128.6101227
744	찾아가는 영화관Ⅰ	대천공연	2024-07-01	2024-07-01	야외 영화관 상영	홈페이지 정보 없음	부산광역시 해운대구 중동2로 11	부산광역시 해운대구 중동 1378-95	35.16313992	129.1635303
171	삼척동해왕이사부축제	삼척장미공원 일원	2024-07-20	2024-07-21	공연+퍼레이드+체험+연계행사 등	http://www.yisabu.com	강원특별자치도 삼척시 오십천로 536	강원특별자치도 삼척시 정상동 232	37.43501045	129.1752024
921	안심창조밸리 연꽃마을 축제	안심창조밸리 일원	2024-07-20	2024-07-21	연꽃길 힐링걷기대회+관련 문화행사	홈페이지 정보 없음	주소 X	대구광역시 동구 괴전동 401-2	35.869549	128.735308
533	금산삼계탕축제	금산인삼관 광장 일원	2024-07-24	2024-07-28	ㅇ가족 여름 삼(蔘)캉스+여름 별빛놀이터+열대야 콘서트+여름 쿨 음악회+금산인삼 푸드코너+간편 삼계요리 경연대회+금산약초 체험마켓 등	http://www.insamfestival.co.kr/	충청남도 금산군 금산읍 인삼광장로 30	충청남도 금산군 금산읍 신대리 392	36.1000256	127.5007304
805	제27회 무안연꽃축제	회산백련지 일원	2024-07-25	2024-07-28	연꽃 힐링 및 체험프로그램+먹거리 운영 등	http://tour.muan.go.kr/	전라남도 무안군 일로읍 백련로 333	전라남도 무안군 일로읍 복룡리 150	34.86008849	126.5298962
1093	부산바다축제	주요해수욕장	2024-07-26	2024-07-28	공연행사+불꽃쇼+체험행사 등	http://www.bfo.or.kr/main/index.asp	부산광역시 해운대구 해운대해변로 280	부산광역시 해운대구 중동 1411-23	35.1594967	129.1625753
994	거제 바다로 세계로	지세포항수변공원 등	2024-07-01	2024-07-31	해양스포츠대회+체험프로그램+블루썸머콘서트 등	홈페이지 정보 없음	경상남도 거제시 일운면 거제대로 2056	경상남도 거제시 일운면 구조라리 502	34.80795032	128.6922045
283	광양전어축제	광양시 진월면 망덕포구 일원	2024-08-01	2024-08-01	공연+경연+체험+전시+판매+부대행사	http://www.gwangyang.go.kr/tour_culture	전라남도 광양시 진월면 망덕길 265	전라남도 광양시 진월면 망덕리 12-1	34.97164706	127.7587907
745	영화의 거리 영화음악 콘서트	영화의 거리	2024-08-01	2024-08-01	영화+음악 해설이 있는 영화음악 콘서트 공연	홈페이지 정보 없음	부산광역시 해운대구 중동2로 11	부산광역시 해운대구 중동 1378-95	35.16313992	129.1635303
746	세대공감+신나는 풍류 콘서트	해운대해수욕장	2024-08-01	2024-08-01	고향사랑기부제 기금제안사업(선정시 진행)	홈페이지 정보 없음	부산광역시 해운대구 중동2로 11	부산광역시 해운대구 중동 1378-95	35.16313992	129.1635303
1100	송정해변축제	송정해수욕장 일원	2024-08-01	2024-08-01	개막행사+무대공연 등	홈페이지 정보 없음	부산광역시 해운대구 중동2로 11	부산광역시 해운대구 중동 1378-95	35.16313992	129.1635303
1191	여수동동북축제	장소미정	2024-08-01	2024-08-01	북퍼레이드+아티스트공연+북전시및체험행사+경연대회	http://www.yeosu.go.kr/dongdong	전라남도 여수시 소호로 606	전라남도 여수시 학동 201	34.75590207	127.6572796
1274	거문도백도은빛바다체험행사	삼산면 거문도 일원	2024-08-01	2024-08-01	길놀이+개막식+맨손활어잡기+지인망끌기체험	홈페이지 정보 없음	전라남도 여수시 삼산면 거문길 28-10	전라남도 여수시 삼산면 거문리 111-35	34.02575979	127.311945
1275	여수밤바다 불꽃축제	이순신 광장 및 장군도 앞 해상	2024-08-01	2024-08-01	공연행사+불꽃쇼+불꽃사진콘테스트	https://www.yeosu.go.kr/ysff	주소 X	전라남도 여수시 중앙동 385-6	34.7388016	127.7366067
815	현인가요제	송도해수욕장	2024-08-03	2024-08-04	개막행사+현인가요제 전야제+현인가요제 본선	http://culture.bsseogu.go.kr	부산광역시 서구 송도해변로 100	부산광역시 서구 암남동 135-5	35.07682117	129.0180502
1247	합천바캉스축제	정양레포츠공원	2024-07-27	2024-08-04	전국에서 가장 HOT한 합천에서 가족과 함께하는 바캉스	http://www.hcvacance.kr/	주소 X	경상남도 합천군 대양면 정양리 613-2	35.5573152	128.1675442
1327	보령머드축제	충청남도 보령시 대천해수욕장 일원	2024-07-19	2024-08-04	머드 체험프로그램+머드 공연+머드챌린지+전시판매 프로그램	http://www.mudfestival.or.kr	충청남도 보령시 해수욕장10길 5	충청남도 보령시 신흑동 2269-1	36.3150568	126.5103666
1099	제28회 부산바다축제	해운대해수욕장	2024-08-01	2024-08-06	개막행사+무대공연 등	홈페이지 정보 없음	부산광역시 해운대구 중동2로 11	부산광역시 해운대구 중동 1378-95	35.16313992	129.1635303
438	2024 아시테지 국제여름축제	대학로	2024-08-07	2024-08-11	아시테지 국제아동극 여름축제	http://assitejkorea.org/	"서울특별시 종로구 동숭길 114, 2층"	서울특별시 종로구 동숭동 28	37.5831662	127.0038384
523	2024 통영한산대첩축제	통영 삼도수군통제영 및 통영시 일원	2024-08-09	2024-08-14	고유제+군점+이순신장군 행렬+한산대첩 재현+학술발표회+통제영무과 체험마당	https://tyhansancf.or.kr/	경상남도 통영시 세병로 27(문화동)	경상남도 통영시 문화동 62	34.84715495	128.423489
555	2024춘천예술문화축제 - 제11회 한여름밤의 아리아	상상마당 야외공연장	2024-08-14	2024-08-14	춘천예술문화축제  한여름 밤의 아리아	홈페이지 정보 없음	강원특별자치도 춘천시 스포츠타운길399번길 25 어린이회관	강원특별자치도 춘천시 삼천동 223-2 KT&G상상마당 춘천아트센터	37.874122	127.702307
272	2024 곤충 & 서머쿨 페스티벌	한천체육공원 일원	2024-08-15	2024-08-18	각종 공연 및 체험프로그램 등	yctf.kr	주소 X	경상북도 예천군 예천읍 남본리 310-1	36.64810235	128.4492109
443	함양연암문화제	안의면 오리숲일원	2024-08-23	2024-08-24	학술대회+연암역사 퀴즈대회+연암 부임행차+연암제례+축하공연+군민노래자랑	홈페이지 정보 없음	주소 X	경상남도 함양군 안의면 금천리 241	35.63129664	127.812171
864	한 여름밤의 음악회(2023 의령사랑 Summer Festival)	서동생활공원 다목적운동장 야외무대	2024-08-24	2024-08-24	"첼로, 합창, 색소포, 오보에, 성악앙상블 등 악기연주 및 노래"	홈페이지 정보 없음	경상남도 의령군 의령읍 의병로8길 44	경상남도 의령군 의령읍 서동리 543	35.31545351	128.2558931
995	거제맥주축제	장승포 수변공원	2024-08-01	2024-08-31	맥주 무제한 제공+무대공연+먹거리 체험 부스 등	홈페이지 정보 없음	경상남도 거제시 장승로 146-12	경상남도 거제시 장승포동 685-3	34.86687999	128.7260471
747	찾아가는 영화관Ⅱ (드라이브-인-시네마)	해운대수목원	2024-09-01	2024-09-01	야외 영화관 상영	홈페이지 정보 없음	부산광역시 해운대구 중동2로 11	부산광역시 해운대구 중동 1378-95	35.16313992	129.1635303
922	팔공산 왕건축제	동화천 생태하천 둔치	2024-09-01	2024-09-01	왕건관련 체험프로그램+동화천 걷기대회행사+무대행사	홈페이지 정보 없음	주소 X	대구광역시 동구 지묘동 1220-19	35.942676	128.6426741
923	용암산성 옥샘문화재	불로천 다목적광장	2024-09-01	2024-09-01	제례행사+사생대회+끼페스티벌+문화행사	홈페이지 정보 없음	대구광역시 동구 팔공로24길 171	주소 X	35.9099747	128.6501287
942	구항한우축제	구항면 일원	2024-09-01	2024-09-01	"벚꽃 테마 행사 운영, 구항한우 판매 및 무료시식회 등"	https://hongseong.go.kr/em/sub11_01.do	충청남도 홍성군 구항면 구항길 109	충청남도 홍성군 구항면 오봉리 735-1	36.5879527	126.6106571
1102	제21회 담안골 문화축제	반송동 일원	2024-09-01	2024-09-01	개막행사+무대공연 등	홈페이지 정보 없음	부산광역시 해운대구 중동2로 11	부산광역시 해운대구 중동 1378-95	35.16313992	129.1635303
1273	여수여자만갯벌노을체험행사	소라면 장척마을 일원	2024-09-01	2024-09-01	대나무망둥어낚시+개매기+바지락캐기+맨손고기잡이+가족사랑걷기체험+노을가요제	홈페이지 정보 없음	전라남도 여수시 소라면 서부로 785-24	주소 X	34.7902433	127.5679754
1302	2024 청양고추구기자문화축제	백세건강공원	2024-08-30	2024-09-01	공연+전시+판매+체험+부대행사 등	https://칠갑마루.com/f23/	주소 X	충청남도 청양군 청양읍 읍내리 377-10	36.44503302	126.8034215
1075	파주포크페스티벌	임진각 평화누리 야외공연장	2024-09-07	2024-09-07	공연+부스체험프로그램+홍보부스 등	https://pajufolkfestival.com	경기도 파주시 문산읍 통일로 1997-1	경기도 파주시 문산읍 운천리 69-26	37.8785604	126.7731515
