"MARKETID","MARKETNAME","MARKETTYPE","ROADADDRESS","JIBUNADDRESS","OPENINGPERIOD","LATITUDE","LONGITUDE","PUBLICTOILET","PARKINGAVAILABILITY"
93,"고흥전통시장","상설장","전라남도 고흥군 고흥읍 시장길 20","전라남도 고흥군 고흥읍 남계리 628","상설",34.6079979212,127.2858601761,"Y","Y"
94,"곡성기차마을전통시장","5일장","전라남도 곡성군 곡성로 856","전라남도 곡성군 곡성읍 읍내리 208","3일+8일",35.27976851,127.2984376,"Y","Y"
95,"곡천공설시장","상설장+5일장","울산광역시 울주군 웅촌면 곡천동문길 20-22","울산광역시 울주군 웅촌면 곡천리320-2","매일+6일",35.4656179,129.2096999,"Y","Y"
96,"곤양종합시장","5일장","경상남도 사천시 곤양면 남산로 65","경상남도 사천시 곤양면 남문외리 48-4","5일+10일",35.05653289,127.9633464,"Y","Y"
97,"골드테마거리","상설장","부산광역시 부산진구 범일로 134 중앙빌딩","부산광역시 부산진구 법천1동 836-1","매일",35.14193851,129.0597745,"Y","Y"
98,"공단종합시장","상설장","경상북도 구미시 수출대로3길107","경상북도 구미시 공단동 107","매일",36.12063634,128.3715356,"Y","Y"
99,"공덕시장","상설장","서울특별시 마포구 만리재로 19 공덕동","서울특별시 마포구 공덕동 256-10","매일",37.54479479,126.9532582,"Y","N"
100,"공릉동도깨비시장","상설장","서울특별시 노원구 동일로180길 37","서울특별시 노원구 공릉1동 566-20외 65필지","매일",37.62269037,127.0762493,"N","Y"
101,"공산면5일 전통시장","상설장+5일장","x","전라남도 나주시 공산면 금곡리 862-14","매일+6일",34.94332977,126.6081347,"Y","N"
102,"공주산성시장","상설장+5일장","충청남도 공주시 용당길 22","충청남도 공주시 산성동 190-1","매일+6일",36.45881772,127.1226143,"Y","Y"
103,"공항시장","상설장","대구광역시 동구 해동로3길 6","대구광역시 동구 지저동 694-41","매일",35.89639261,128.6382422,"Y","Y"
104,"과역전통시장","5일장","전라남도 고흥군 과역면 시장안길 15","전라남도 고흥군 과역면 과역리 162","5일+10일",34.67945246,127.3622598,"Y","Y"
105,"과역전통시장","5일장","전라남도 고흥군 과역면 과역로 857","전라남도 고흥군 과역면 과역리 162-2","5,10",34.679021,127.3626871114,"Y","Y"
106,"과천서서울프라자","상설장","경기도 과천시 별양상가 2로 20","경기도 과천시 별양동 1-18","매일",37.42682749,126.9925561,"Y","Y"
107,"과천제일쇼핑","상설장","경기도 과천시 별양상가 2로 14","경기도 과천시 별양동 1-13","매일",37.42732794,126.9929982,"Y","Y"
108,"관고전통시장","5일장","경기도 이천시 중리천로 31번길 22","경기도 이천시 관고동 10-13","2일+7일",37.28081972,127.4403608,"Y","Y"
109,"관문상가시장","상설장","대구광역시 남구 월배로 494","대구광역시 남구 대명동 1135-4","매일",35.83654368,128.5572814,"Y","Y"
110,"관문시장","상설장","대구광역시 남구 관문시장2길 43","대구광역시 남구 대명동 1160","매일",35.83553597,128.5590637,"Y","Y"
111,"관아골상가","상설장","충청북도 충주시 관아4길 8","충청북도 충주시 성내동 429","매일",36.97012227,127.9351209,"Y","Y"
112,"관악신사시장","상설장","서울특별시 관악구 관천로19길 89","서울특별시 관악구 신림동 494-34","매일",37.48679165,126.9170725,"Y","Y"
113,"관악종합시장","상설장","서울특별시 관악구 신원로 23","서울특별시 관악구 신림동 1602-1","매일",37.4815767,126.928063,"Y","N"
114,"관촌시장","5일장","전라북도 임실군 관촌면 사선1길 70-3","전라북도 임실군 관촌면 관촌리 580-1 586","5일+10일",35.67878053,127.2676801,"Y","Y"
115,"광덕시장","상설장","대구광역시 남구 자유6길50","대구광역시 남구 대명동 460-1","매일",35.8371932,128.5824169,"Y","N"
116,"광명새마을시장","상설장","경기도 광명시 광명로 831번지 4의1","경기도 광명시 광명동 342-12","매일",37.47365412,126.8513997,"Y","Y"
117,"광명전통시장","상설장","경기도 광명시 광이로13번길 17-5","경기도 광명시 광명동 158-44","매일",37.47994816,126.8561647,"Y","Y"
118,"광성시장","상설장","서울특별시 광진구 능동로 47길 30","서울특별시 광진구 중곡동 229-15","매일",37.5635863,127.0811202,"Y","Y"
119,"광안시장","상설장","부산광역시 수영구 수영로603번길 18","부산광역시 수영구 광안동559-2","매일",35.16011763,129.1124667,"Y","Y"
120,"광안어패류시장","상설장","부산광역시 수영구 민락수변로7번길 19","부산광역시 수영구 민락동181-72","매일",35.15559064,129.1245342,"Y","Y"
121,"광안종합시장","상설장","부산광역시 수영구 무학로49번길 71","부산광역시 수영구 광안동 94-1","매일",35.16442161,129.1181777,"Y","N"
122,"광양 5일시장","상설장+5일장","전라남도 광양시 광양읍 백운로 3","전라남도 광양시 광양읍 목성리 696-3","매일+6일",34.9711607,127.5904533,"Y","Y"
123,"광영상설시장","상설장","전라남도 광양시 광영동 광영시장길 19","전라남도 광양시 광영동 682 A동 682-1 B동","매일",34.96144588,127.7203697,"Y","Y"
124,"광장시장","상설장","서울특별시 종로구 창경궁로 88","서울특별시 종로구 예지동 2-1","매일",37.57011251,126.9997072,"Y","Y"
125,"광천문화시장","5일장","충청남도 홍성군 광천읍 광천로323번길 15-1 일원","충청남도 홍성군 광천읍 광천리 185-27","4일+9일",36.50232535,126.6250108,"Y","N"
126,"광천전통시장","5일장","충청남도 홍성군 광천읍 광천로 285","충청남도 홍성군 광천읍 광천리 230-32","4일+9일",36.49983774,126.6252464,"Y","Y"
127,"광탄시장","상설장","경기도 파주시 광탄면 혜음로 1120번길 22","경기도 파주시 광탄면 신산리 221-8","매일",37.782166,126.848473,"Y","Y"
128,"광탄시장","5일장","경기도 파주시 광탄면 해음로 1120번길","경기도 파주시 광탄면 신산리 222-7","3일+8일",37.78146068,126.8484764,"Y","Y"
129,"광희패션몰","상설장","서울특별시 중구 마장로1길 21","서울특별시 중구 신당동 777 광희시장","매일",37.56867293,127.0119155,"Y","Y"
130,"괴목시장","5일장","전라남도 순천시 황전면 괴목길 17","전라남도 순천시 황전면 괴목리 45-1","4일+9일",35.10255463,127.4282253,"Y","Y"
131,"괴산시장","5일장","충청북도 괴산군 괴산읍 읍내로 15길8-8","충청북도 괴산군 괴산읍 동부리 560-1","3일+8일",36.81121857,127.7950238,"Y","Y"
132,"괴정골목시장","상설장","부산광역시 사하구 사하로 198","x","매일",35.0993329,128.9937058,"Y","Y"
133,"교동시장","상설장","대구광역시 중구 교동2길11","대구광역시 중구 교동 51-1","매일",35.87370057,128.598366,"Y","Y"
134,"교동시장","상설장","전라남도 여수시 교동시장1길 17","전라남도 여수시 교동 605-44","매일",34.73908203,127.7299176,"Y","Y"
135,"구담공설시장","5일장","경상북도 안동시 풍천면 섬마길 7-9","경상북도 안동시 풍천면 구담리 494-1","4일+9일",36.54171572,128.4646132,"Y","Y"
136,"구덕대림상가","상설장","부산광역시 사상구 학감대로49번길 62","부산광역시 사상구 학장동 167-3","매일",35.13532021,128.9922406,"Y","Y"
137,"구례5일시장","5일장","전라남도 구례군 구례읍 5일시장작은길 20","전라남도 구례군 구례읍 봉동리 190-1","3일+8일",35.21015153,127.4700805,"Y","Y"
138,"구례상설시장","상설장","전라남도 구례군 구례읍 구례1길 45-6","전라남도 구례군 구례읍 봉동리 378-1","매일",35.20962446,127.4657567,"Y","Y"
139,"구로시장","상설장","서울특별시 구로구 구로동로22길 17-4","서울특별시 구로구 구로동734-17 2층","매일",37.48963005,126.8856198,"Y","N"
140,"구룡포시장","5일장","경상북도 포항시 남구 구룡포읍 구룡포길 72-1","경상북도 포항시 남구 구룡포읍 구룡포리 963-2","3일+8일",35.99031517,129.5540012,"Y","Y"
141,"구리전통시장","상설장","경기도 구리시 검배로 6번길 31","경기도 구리시 수택동 417","매일",37.5995428,127.1399042,"Y","Y"
142,"구리전통시장","상설장","경기도 구리시 검배로6번길 31","경기도 구리시 수택동 417","매일",37.599546,127.139929,"Y","Y"
143,"구림5일시장","5일장","전라남도 영암군 군서면 도갑사로 31-13","전라남도 영암군 군서면 동구림리 34-7","2일+7일",34.76237653,126.6353421,"Y","Y"
144,"구매탄시장","상설장","경기도 수원시 영통구 매여울로53번길 50-1 매탄동","경기도 수원시 영통구 매탄동 172-72","매일",37.27260269,127.0419222,"Y","Y"
145,"구미 장천시장","5일장","경상북도 구미시 장천면 상장5길 4","경상북도 구미시 장천면 상장리 918","5일+10일",36.12569981,128.4934095,"Y","Y"
146,"구미산업유통단지","상설장","경상북도 구미시 3공단1로 302-7","경상북도 구미시 임수동 92-9","매일",36.10987823,128.4026464,"Y","Y"
147,"구미제일시장상가","상설장","경상북도 구미시 1공단로 192","경상북도 구미시 공단동 264-18","매일",36.10172214,128.3841075,"Y","Y"
148,"구미종합상가","상설장","경상북도 구미시 구미중앙로9길 14-6","경상북도 구미시 원평동 119-15","매일",36.13051139,128.3304388,"Y","Y"
149,"구미파크시장","상설장","경상북도 구미시 송동로 154","경상북도 구미시 도량동 77","매일",36.14936026,128.3254714,"Y","Y"
150,"구서오시게시장","상설장","부산광역시 금정구 구서로12","부산광역시 금정구 구서동 87-9","매일",35.24735756,129.0897741,"Y","Y"
151,"구암현대시장","상설장","경상남도 창원시 마산회원구 구암서5길 15","경상남도 창원시 마산회원구 구암1동 18-2","매일",35.24823512,128.5907276,"Y","N"
152,"구역전시장","상설장","울산광역시 중구 구역전길 24-2 학성동","울산광역시 중구 학성동 432-438","매일",35.55730008,129.3284132,"Y","Y"
153,"구역전시장","상설장","울산광역시 중구 구역전길 20(학성동)","울산광역시 중구 학성동 434-7","매일",35.5570211,129.3284786,"Y","Y"
154,"구역전전통시장","상설장","울산광역시 중구 구역전길 8(학성동)","울산광역시 중구 학산동 61-9","매일",35.5559093,129.3279529,"N","Y"
155,"구역전전통시장","상설장","울산광역시 중구 구역전길 8 학산동","울산광역시 중구 학산동 61-9","매일",35.55590681,129.3279591,"Y","N"
156,"구월도매전통시장","상설장","인천광역시 남동구 인하로521번길 10-15","인천광역시 남동구 구월동 1176-14","매일",37.44365361,126.7056285,"N","Y"
157,"구월시장","상설장","인천광역시 남동구 호구포로 790번길 21-13","인천광역시 남동구 구월동 1267-4","매일",37.45336936,126.7202675,"Y","Y"
158,"구지시장","상설장","대구광역시 달성군 구지면 창리로11길 15-7","대구광역시 달성군 구지면 창리 424-2","정기",35.657765,128.412578,"Y","Y"
159,"구천동공구시장","상설장","경기도 수원시 팔달구 수원천로199번길 5 구천동","경기도 수원시 팔달구 구천동 86-1","매일",37.27212246,127.0173593,"N","Y"
160,"구포축산물도매시장","상설장","부산광역시 북구 사상로583번길 25","부산광역시 북구 구포2동 1188-3번지","매일",35.19619458,128.9892003,"Y","Y"
161,"국민시장","상설장","부산광역시 동래구 사직북로 33번길31","부산광역시 동래구 사직동 44-1","매일",35.19840108,129.0582333,"Y","Y"
162,"국제상가","상설장","부산광역시 부산진구 백양관문로 104-1","부산광역시 부산진구 당감동 791","매일",35.1684408,129.028207,"Y","Y"
163,"국제시장","상설장","부산광역시 중구 중구로 국제시장 2길 25호 2공구 서동 3층","부산광역시 중구 신창동 4가","매일",35.1015558,129.028269,"Y","Y"
164,"군복 공설시장","5일장","경상남도 함안군 군북면 중암8길 27","경상남도 함안군 군북면 중암리83-16","4일+9일",35.26104842,128.3469461,"Y","Y"
